dispatch_id,equipment_id,customer_id,dispatch_date,technician,service_type,hours_spent,labor_cost,resolution_summary,status
DISP-11539,EQ-5024,C-1510,2022-04-14T00:00:00Z,David Lee,Installation,11.2,1064.0,Replaced faulty thermal sensor and verified system bus voltage.,Pending
DISP-11540,EQ-5187,C-1049,2023-08-07T00:00:00Z,Mike Johnson  ,Software Update,10.5,997.5,Performed standard preventive check. Updated firmware to v4.2.1.,COMPLETED
DISP-11541,EQ-7004,C-1116,01/21/2024,David   Lee,Diagnostic,9.8,1470.0,Replaced faulty thermal sensor and verified system bus voltage.,COMPLETED
DISP-11542,EQ-5493,C-1188,01/29/2024,Maria Garcia,Installation,4.1,307.5,Performed standard preventive check. Updated firmware to v4.2.1.,In Progress
DISP-11543,EQ-5950,C-1048,12/31/2023,Amanda Thompson,Preventive Maintenance,8.9,667.5,Replaced faulty thermal sensor and verified system bus voltage.,In Progress
DISP-11544,EQ-7038,C-1202,2023-11-30,Amanda Thompson,Corrective Maintenance,1.9,228.0,Replaced faulty thermal sensor and verified system bus voltage.,Cancelled
DISP-11545,EQ-6308,C-1373,11/28/2021,Michael Brown,Warranty Replacement,1.8,171.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,COMPLETED
DISP-11546,EQ-5372,C-1069,2022-01-27T00:00:00Z,Michael Brown,Installation,0.8,96.0,Replaced faulty thermal sensor and verified system bus voltage.,COMPLETED
DISP-11547,EQ-6533,C-1412,02-17-2023,Michael Brown  ,Diagnostic,11.2,1680.0,Performed standard preventive check. Updated firmware to v4.2.1.,Pending
DISP-11548,EQ-6434,C-1143,05/02/2022,NULL,Installation,1.9,180.5,Replaced burnt fuse block. Test run completed successfully.,In Progress
DISP-11549,EQ-6080,C-1469,02-01-2022,Jennifer   Chen,Installation,7.7,1155.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Cancelled
DISP-11550,EQ-5486,C-1362,2021-08-04,Lisa Rodriguez,Diagnostic,5.9,560.5,Calibrated inverter output. System operating within normal parameters.,In Progress
DISP-11551,EQ-6925,C-1199,03-06-2023,Lisa Rodriguez,Corrective Maintenance,7.4,1110.0,Replaced faulty thermal sensor and verified system bus voltage.,COMPLETED
DISP-11552,EQ-5041,C-1047,2023/03/06,David Lee,Corrective Maintenance,0.9,108.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Cancelled
DISP-11553,EQ-5454,C-1269,03/29/2024,   ,Emergency Repair,7.0,1050.0,Calibrated inverter output. System operating within normal parameters.,Cancelled
DISP-11554,EQ-6998,C-1268,2021/09/13,Mike Johnson,Emergency Repair,1.5,180.0,Calibrated inverter output. System operating within normal parameters.,Pending
DISP-11555,EQ-6641,C-1154,2023/09/26,Robert Martinez,Preventive Maintenance,8.4,1260.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Cancelled
DISP-11556,EQ-6247,C-1086,2022/08/10,Carlos Sanchez,Software Update,10.4,1560.0,<div>Replaced faulty thermal sensor and verified system bus voltage.</div>,COMPLETED
DISP-11557,EQ-6111,C-1377,11/11/2022,Mike Johnson,Diagnostic,9.3,1395.0,Calibrated inverter output. System operating within normal parameters.,COMPLETED
DISP-11558,EQ-5622,C-1508,01/03/2024,David Lee,Software Update,3.3,USD 396.00,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,In Progress
DISP-11559,EQ-5068,C-1046,2021-11-24T00:00:00Z,Maria Garcia,Warranty Replacement,9.1,1365.0,Replaced faulty thermal sensor and verified system bus voltage.,Completed
DISP-11560,EQ-6475,C-1365,2024-01-25,Michael Brown,Preventive Maintenance,8.3,788.5,Replaced burnt fuse block. Test run completed successfully.,Completed
DISP-11561,EQ-6925,C-1199,2021-08-01,   ,Software Update,8.3,USD 788.50,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Completed
DISP-11562,EQ-5769,C-1471,05/20/2023,Jennifer Chen  ,Preventive Maintenance,5.5,660.0,Replaced faulty thermal sensor and verified system bus voltage.,completed
DISP-11563,EQ-6185,C-1347,2024/07/31,Carlos Sanchez,Preventive Maintenance,11.2,840.0,Performed standard preventive check. Updated firmware to v4.2.1.,Pending
DISP-11564,EQ-5691,C-1406,07-27-2023,Mike Johnson  ,Software Update,4.5,337.5,Calibrated inverter output. System operating within normal parameters.,Completed
DISP-11565,EQ-6414,C-1415,01/23/2023,Patricia Davis,Diagnostic,7.6,912.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,In Progress
DISP-11566,EQ-5915,C-1119,11/05/2023,Sarah Williams,Diagnostic,4.6,437.0,Replaced faulty thermal sensor and verified system bus voltage.,Completed
DISP-11567,EQ-6412,C-1097,03/11/2022,Carlos Sanchez,Emergency Repair,2.0,300.0,Performed standard preventive check. Updated firmware to v4.2.1.,completed
DISP-11568,EQ-6197,C-1028,09-18-2023,James Wilson,Warranty Replacement,0.8,120.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,completed
DISP-11569,EQ-6514,C-1270,08/15/2022,Sarah Williams,Warranty Replacement,7.0,1050.0,Replaced faulty thermal sensor and verified system bus voltage.,COMPLETED
DISP-11570,EQ-6114,C-1037,11-05-2022,Maria Garcia,Corrective Maintenance,378.3,45396.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,completed
DISP-11571,EQ-6659,C-1323,2021-09-28,Amanda Thompson,Installation,1.8,216.0,Calibrated inverter output. System operating within normal parameters.,Cancelled
DISP-11572,EQ-6440,C-1047,2021-11-04T00:00:00Z,James Wilson,Corrective Maintenance,10.1,$757.50,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Cancelled
DISP-11573,EQ-5891,C-1305,01-17-2022,Sarah Williams,Preventive Maintenance,0.5,60.0,Calibrated inverter output. System operating within normal parameters.,completed
DISP-11574,EQ-6390,C-1501,2023-09-10,  Amanda Thompson  ,Corrective Maintenance,10.0,750.0,Calibrated inverter output. System operating within normal parameters.,Completed
DISP-11575,EQ-6153,C-1039,05/26/2023,James Wilson,Emergency Repair,1.3,156.0,Calibrated inverter output. System operating within normal parameters.,Pending
DISP-11576,EQ-99555,C-99524,05/03/2024,Michael Brown,Software Update,3.9,292.5,Replaced burnt fuse block. Test run completed successfully.,Pending
DISP-11577,EQ-5413,C-1434,06/24/2022,Sarah   Williams,Installation,7.0,840.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Completed
DISP-11578,EQ-5966,C-1090,08/23/2021,Jennifer Chen,Software Update,5.7,$427.50,Calibrated inverter output. System operating within normal parameters.,Cancelled
DISP-11579,EQ-5637,C-1073,08-01-2022,   Lisa Rodriguez,Warranty Replacement,8.5,1020.0,Calibrated inverter output. System operating within normal parameters.,In Progress
DISP-11580,EQ-6019,C-1177,2022-03-03,Jennifer Chen,Warranty Replacement,7.7,577.5,<div>Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.</div>,COMPLETED
DISP-11581,EQ-7327,C-1428,03-26-2023,Michael Brown  ,Installation,4.7,564.0,Replaced burnt fuse block. Test run completed successfully.,Completed
DISP-11582,EQ-5576,C-1079,2024/02/05,Patricia Davis,Corrective Maintenance,4.8,576.0,Replaced burnt fuse block. Test run completed successfully.,Completed
DISP-11583,EQ-6976,C-1465,2022-02-16T00:00:00Z,Jennifer Chen,Warranty Replacement,5.7,541.5,Replaced burnt fuse block. Test run completed successfully.,COMPLETED
DISP-11584,EQ-6357,C-1059,2024/02/04,Jennifer Chen,Diagnostic,7.0,525.0,Calibrated inverter output. System operating within normal parameters.,COMPLETED
DISP-11585,EQ-5819,C-1026,2023-09-04,James Wilson,Warranty Replacement,11.3,1073.5,Replaced faulty thermal sensor and verified system bus voltage.,In Progress
DISP-11586,EQ-7425,C-1305,2023/01/30,Robert Martinez,Preventive Maintenance,4.2,399.0,<p>Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.</p>,completed
DISP-11587,EQ-6607,C-1236,07/21/2021,David   Lee,Emergency Repair,11.4,1368.0,Replaced faulty thermal sensor and verified system bus voltage.,Pending
DISP-11588,EQ-5891,C-1305,09/17/2021,   Mike Johnson,Corrective Maintenance,7.2,864.0,Replaced burnt fuse block. Test run completed successfully.,completed
DISP-11589,EQ-6789,C-1142,03/22/2024,Mike Johnson,Emergency Repair,9.3,1395.0,Replaced faulty thermal sensor and verified system bus voltage.,COMPLETED
DISP-11590,EQ-7054,C-1249,2024-03-25T00:00:00Z,Mike Johnson,Software Update,3.7,277.5,Performed standard preventive check. Updated firmware to v4.2.1.,Completed
DISP-11591,EQ-6968,C-1025,10-16-2023,Carlos Sanchez,Software Update,7.6,1140.0,Replaced faulty thermal sensor and verified system bus voltage.,Cancelled
DISP-11592,EQ-6074,C-1025,2021-10-17,   Patricia Davis,Diagnostic,4.5,675.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,COMPLETED
DISP-11593,EQ-6913,C-1106,2021-12-07,Amanda Thompson,Preventive Maintenance,5.9,885.0,Replaced burnt fuse block. Test run completed successfully.,COMPLETED
DISP-11594,EQ-6281,C-1149,2022/11/14,Amanda Thompson,Preventive Maintenance,2.0,240.0,<b>Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.</b>,Cancelled
DISP-11595,EQ-5993,C-1077,10/09/2022,Carlos Sanchez,Corrective Maintenance,7.9,1185.0,Calibrated inverter output. System operating within normal parameters.,COMPLETED
DISP-11596,EQ-99806,C-99569,2021-11-12,   ,Software Update,2.4,288,Replaced burnt fuse block. Test run completed successfully.,Completed
DISP-11597,EQ-6159,C-1442,05/13/2023,Patricia Davis,Warranty Replacement,9.6,720.0,Performed standard preventive check. Updated firmware to v4.2.1.,Cancelled
DISP-11598,EQ-5376,C-1115,2022-01-18,David Lee,Diagnostic,1.4,105.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,completed
DISP-11599,EQ-5376,C-1115,11/01/2021,  Robert Martinez  ,Diagnostic,2.4,360.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,In Progress
DISP-11600,EQ-5673,C-1436,2021-11-13,NULL,Installation,3.3,313.5,Performed standard preventive check. Updated firmware to v4.2.1.,Completed
DISP-11601,EQ-6109,C-1345,2023/11/27,Maria Garcia,Installation,4.6,690.0,Replaced burnt fuse block. Test run completed successfully.,completed
DISP-11602,EQ-5468,C-1007,07-15-2021,James Wilson,Warranty Replacement,4.8,360.0,Calibrated inverter output. System operating within normal parameters.,In Progress
DISP-11603,EQ-6748,C-1053,07/01/2022,Jennifer Chen,Preventive Maintenance,6.4,768.0,Calibrated inverter output. System operating within normal parameters.,COMPLETED
DISP-11604,EQ-6955,C-1301,11/06/2022,Robert Martinez,Corrective Maintenance,12.0,900.0,Performed standard preventive check. Updated firmware to v4.2.1.,Pending
DISP-11605,EQ-5987,C-1468,09/25/2022,   Jennifer Chen,Emergency Repair,8.0,600.0,Replaced faulty thermal sensor and verified system bus voltage.,Cancelled
DISP-11606,EQ-5201,C-1072,10/10/2023,Amanda Thompson,Emergency Repair,1.1,104.5,Replaced faulty thermal sensor and verified system bus voltage.,COMPLETED
DISP-11607,EQ-6166,C-1251,2022/01/27,Sarah Williams,Preventive Maintenance,0.8,76.0,Replaced faulty thermal sensor and verified system bus voltage.,In Progress
DISP-11608,EQ-5626,C-1258,2022-06-21,James Wilson,Installation,1.4,210.0,Replaced faulty thermal sensor and verified system bus voltage.,COMPLETED
DISP-11609,EQ-6869,C-1509,04/03/2024,Michael Brown,Preventive Maintenance,3.6,342.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Pending
DISP-11610,EQ-6780,C-1301,2021-06-18T00:00:00Z,Lisa   Rodriguez,Warranty Replacement,9.4,1410.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Pending
DISP-11611,EQ-7100,C-1058,10/06/2023,David Lee,Diagnostic,2.8,336.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Cancelled
DISP-11612,EQ-6920,C-1463,06/16/2022,Michael Brown,Installation,10.6,795.0,Calibrated inverter output. System operating within normal parameters.,completed
DISP-11613,EQ-5489,C-1341,07/06/2024,Mike Johnson,Preventive Maintenance,4.9,465.5,Performed standard preventive check. Updated firmware to v4.2.1.,Cancelled
DISP-11614,EQ-6452,C-1222,07-09-2023,Carlos Sanchez,Emergency Repair,11.4,"$1,368.00",Calibrated inverter output. System operating within normal parameters.,In Progress
DISP-11615,EQ-5634,C-1273,2022-06-21T00:00:00Z,Michael Brown,Installation,5.3,503.5,Replaced burnt fuse block. Test run completed successfully.,Completed
DISP-11616,EQ-6762,C-1278,2023-07-14T00:00:00Z,Carlos Sanchez,Installation,8.6,1032.0,<html><body>Replaced burnt fuse block. Test run completed successfully.</body></html>,completed
DISP-11617,EQ-6220,C-1473,01/20/2024,Sarah Williams,Preventive Maintenance,4.9,367.5,Replaced faulty thermal sensor and verified system bus voltage.,COMPLETED
DISP-11618,EQ-5647,C-1432,2023-10-04,Mike Johnson,Software Update,6.5,780.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,completed
DISP-11619,EQ-5717,C-1056,2024-05-29,James Wilson,Installation,6.6,990.0,Replaced faulty thermal sensor and verified system bus voltage.,In Progress
DISP-11620,EQ-6389,C-1241,02/22/2022,Carlos Sanchez,Emergency Repair,5.5,412.5,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,In Progress
DISP-11621,EQ-7272,C-1311,10-17-2023,Lisa Rodriguez,Warranty Replacement,9.3,1395.0,<html><body>Replaced burnt fuse block. Test run completed successfully.</body></html>,Pending
DISP-11622,EQ-5613,C-1242,03/19/2023,Lisa   Rodriguez,Diagnostic,1.8,171.0,Calibrated inverter output. System operating within normal parameters.,COMPLETED
DISP-11623,EQ-5677,C-1001,10/14/2023,Patricia Davis,Corrective Maintenance,11.8,1416.0,Calibrated inverter output. System operating within normal parameters.,Completed
DISP-11624,EQ-5399,C-1163,2023/03/18,Robert Martinez,Software Update,2.4,180.0,Calibrated inverter output. System operating within normal parameters.,Pending
DISP-11625,EQ-5795,C-1375,2023/01/16,Robert Martinez,Preventive Maintenance,1.5,225.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,COMPLETED
DISP-11626,EQ-6452,C-1222,2024-06-22,Sarah Williams,Diagnostic,9.8,1470.0,Replaced faulty thermal sensor and verified system bus voltage.,In Progress
DISP-11627,EQ-5762,C-1309,2021/12/29,Jennifer Chen,Installation,3.6,342.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,COMPLETED
DISP-11628,EQ-7198,C-1242,09-21-2022,Lisa Rodriguez,Software Update,6.6,990.0,Performed standard preventive check. Updated firmware to v4.2.1.,completed
DISP-11629,EQ-5023,C-1330,02/28/2023,Patricia Davis,Installation,5.7,855.0,<b>Performed standard preventive check. Updated firmware to v4.2.1.</b>,Completed
DISP-11630,EQ-5580,C-1176,10/17/2023,Amanda Thompson,Warranty Replacement,2.2,165.0,Calibrated inverter output. System operating within normal parameters.,COMPLETED
DISP-11631,EQ-7306,C-1285,12/08/2022,Michael Brown,Preventive Maintenance,8.6,1290,Calibrated inverter output. System operating within normal parameters.,COMPLETED
DISP-11632,EQ-6957,C-1019,2022-10-10,Robert Martinez,Warranty Replacement,4.2,504.0,<b>Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.</b>,completed
DISP-11633,EQ-6501,C-1074,2024-02-21T00:00:00Z,Maria Garcia,Emergency Repair,4.3,645.0,Replaced faulty thermal sensor and verified system bus voltage.,Cancelled
DISP-11634,EQ-5372,C-1069,2022/07/25,Maria Garcia,Warranty Replacement,6.2,589.0,Replaced faulty thermal sensor and verified system bus voltage.,Cancelled
DISP-11635,EQ-7493,C-1457,2022-06-10,Mike Johnson,Software Update,8.9,845.5,Performed standard preventive check. Updated firmware to v4.2.1.,In Progress
DISP-11636,EQ-6261,C-1472,12/27/2022,Mike Johnson,Warranty Replacement,1.4,168.0,Performed standard preventive check. Updated firmware to v4.2.1.,Cancelled
DISP-11637,EQ-5801,C-1414,09-21-2023,Patricia Davis,Corrective Maintenance,10.2,969.0,Calibrated inverter output. System operating within normal parameters.,Completed
DISP-11638,EQ-5480,C-1303,03-22-2024,   ,Installation,0.6,72.0,Calibrated inverter output. System operating within normal parameters.,Pending
DISP-11639,EQ-5084,C-1327,02/13/2023,Jennifer Chen,Emergency Repair,11.7,1404.0,Calibrated inverter output. System operating within normal parameters.,COMPLETED
DISP-11640,EQ-6358,C-1444,2022-05-31T00:00:00Z,Michael Brown,Diagnostic,6.7,804.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Pending
DISP-11641,EQ-7498,C-1273,09/22/2022,  Michael Brown  ,Software Update,11.3,1073.5,Replaced faulty thermal sensor and verified system bus voltage.,Pending
DISP-11642,EQ-6673,C-1488,04/07/2023,Carlos Sanchez,Preventive Maintenance,2.6,312.0,<html><body>Replaced faulty thermal sensor and verified system bus voltage.</body></html>,COMPLETED
DISP-11643,EQ-6522,C-1198,05/30/2024,Mike Johnson,Preventive Maintenance,4.1,615.0,Performed standard preventive check. Updated firmware to v4.2.1.,In Progress
DISP-11644,EQ-6586,C-1047,06/22/2022,  Robert Martinez  ,Installation,9.2,690.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,COMPLETED
DISP-11645,EQ-7378,C-1369,08-20-2021,Michael Brown  ,Software Update,0.5,60.0,<div>Replaced burnt fuse block. Test run completed successfully.</div>,Completed
DISP-11646,EQ-5080,C-1453,07/08/2023,Sarah Williams,Preventive Maintenance,2.6,312.0,<strong>Performed standard preventive check. Updated firmware to v4.2.1.</strong>,Cancelled
DISP-11647,EQ-6816,C-1450,02-03-2022,Jennifer Chen,Warranty Replacement,8.3,996.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Completed
DISP-11648,EQ-6851,C-1196,12/03/2022,Maria Garcia,Preventive Maintenance,1.6,120.0,<html>Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.</html>,completed
DISP-11649,EQ-5984,C-1268,06/02/2022,Michael Brown,Warranty Replacement,3.9,370.5,Replaced faulty thermal sensor and verified system bus voltage.,Cancelled
DISP-11650,EQ-6786,C-1336,01/16/2024,Maria Garcia,Installation,1.5,225.0,<p>Replaced faulty thermal sensor and verified system bus voltage.</p>,In Progress
DISP-11651,EQ-6150,C-1418,01/20/2022,Carlos Sanchez,Emergency Repair,1.1,132.0,Replaced faulty thermal sensor and verified system bus voltage.,completed
DISP-11652,EQ-5576,C-1079,11/20/2022,Michael Brown,Diagnostic,2.2,165.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,In Progress
DISP-11653,EQ-7214,C-1418,2024/07/28,Jennifer Chen,Warranty Replacement,4.8,USD 456.00,Replaced burnt fuse block. Test run completed successfully.,completed
DISP-11654,EQ-5973,C-1338,11/28/2023,Sarah   Williams,Corrective Maintenance,9.8,1176.0,Replaced faulty thermal sensor and verified system bus voltage.,Completed
DISP-11655,EQ-7112,C-1252,2023-02-24T00:00:00Z,Michael Brown,Warranty Replacement,1.0,95.0,Replaced burnt fuse block. Test run completed successfully.,In Progress
DISP-11656,EQ-5493,C-1188,2021-10-03,Patricia Davis,Emergency Repair,2.1,199.5,Calibrated inverter output. System operating within normal parameters.,completed
DISP-11657,EQ-6559,C-1126,04-30-2024,Michael Brown,Diagnostic,1.2,144.0,<b>Performed standard preventive check. Updated firmware to v4.2.1.</b>,COMPLETED
DISP-11658,EQ-6123,C-1224,2023-04-12,Michael Brown,Emergency Repair,2.6,390.0,Calibrated inverter output. System operating within normal parameters.,Pending
DISP-11659,EQ-7000,C-1213,02-16-2024,Robert Martinez,Warranty Replacement,5.1,382.5,Performed standard preventive check. Updated firmware to v4.2.1.,COMPLETED
DISP-11660,EQ-5784,C-1149,07/13/2021,Maria Garcia,Emergency Repair,7.4,703.0,Replaced faulty thermal sensor and verified system bus voltage.,Cancelled
DISP-11661,EQ-6016,C-1093,2023-06-14T00:00:00Z,Carlos Sanchez,Diagnostic,6.5,617.5,Replaced faulty thermal sensor and verified system bus voltage.,completed
DISP-11662,EQ-5550,C-1239,01/21/2024,Patricia Davis,Diagnostic,9.4,1128.0,Calibrated inverter output. System operating within normal parameters.,completed
DISP-11663,EQ-5643,C-1506,03/14/2022,Michael Brown,Preventive Maintenance,3.7,444.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Completed
DISP-11664,EQ-6601,C-1307,2023-01-05T00:00:00Z,Maria Garcia,Diagnostic,11.0,1045.0,Performed standard preventive check. Updated firmware to v4.2.1.,COMPLETED
DISP-11665,EQ-6666,C-1307,04/15/2022,Amanda Thompson,Warranty Replacement,5.2,USD 494.00,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,completed
DISP-11666,EQ-7350,C-1474,2024-05-24T00:00:00Z,Michael Brown,Emergency Repair,3.8,570.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,COMPLETED
DISP-11667,EQ-6138,C-1375,2022-04-26,Lisa Rodriguez,Preventive Maintenance,1.9,228.0,Performed standard preventive check. Updated firmware to v4.2.1.,Completed
DISP-11668,EQ-7161,C-1056,08/09/2023,Jennifer Chen,Emergency Repair,3.1,232.5,Calibrated inverter output. System operating within normal parameters.,Cancelled
DISP-11669,EQ-5062,C-1148,2023-01-26,Mike Johnson,Software Update,7.7,924.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,completed
DISP-11670,EQ-6100,C-1180,2023/04/28,Maria Garcia,Corrective Maintenance,2.7,405.0,Calibrated inverter output. System operating within normal parameters.,Pending
DISP-11671,EQ-7007,C-1156,06/16/2023,Carlos Sanchez,Emergency Repair,4.1,615.0,Replaced faulty thermal sensor and verified system bus voltage.,Pending
DISP-11672,EQ-6299,C-1518,11-20-2021,Mike Johnson,Software Update,5.2,780.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,COMPLETED
DISP-11673,EQ-5448,C-1356,2022-07-17T00:00:00Z,Carlos Sanchez,Warranty Replacement,6.3,756,Performed standard preventive check. Updated firmware to v4.2.1.,Cancelled
DISP-11674,EQ-6579,C-1452,2021-10-20,Amanda Thompson,Emergency Repair,8.5,1275.0,Replaced faulty thermal sensor and verified system bus voltage.,Completed
DISP-11675,EQ-7316,C-1162,2023-06-24,Jennifer Chen,Diagnostic,4.4,418.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Cancelled
DISP-11676,EQ-5053,C-1250,06-11-2024,Michael Brown,Emergency Repair,8.3,622.5,Calibrated inverter output. System operating within normal parameters.,Pending
DISP-11677,EQ-6874,C-1107,12/13/2023,Carlos Sanchez,Diagnostic,10.1,959.5,Performed standard preventive check. Updated firmware to v4.2.1.,Cancelled
DISP-11678,EQ-6234,C-1385,03-19-2024,Sarah Williams,Warranty Replacement,2.1,315.0,Replaced burnt fuse block. Test run completed successfully.,Cancelled
DISP-11679,EQ-5319,C-1270,08-30-2021,Amanda Thompson,Corrective Maintenance,6.2,589.0,Performed standard preventive check. Updated firmware to v4.2.1.,Pending
DISP-11680,EQ-6036,C-1163,2023-09-21,Lisa Rodriguez,Emergency Repair,11.9,1785.0,<html><body>Replaced burnt fuse block. Test run completed successfully.</body></html>,completed
DISP-11681,EQ-7431,C-1351,07/06/2022,David Lee,Installation,8.6,1032.0,Performed standard preventive check. Updated firmware to v4.2.1.,completed
DISP-11682,EQ-6597,C-1053,2023/10/14,Sarah Williams,Diagnostic,7.8,585.0,Calibrated inverter output. System operating within normal parameters.,Cancelled
DISP-11683,EQ-6538,C-1214,2024-03-02,Mike Johnson,Corrective Maintenance,9.1,1092.0,Replaced burnt fuse block. Test run completed successfully.,Pending
DISP-11684,EQ-6511,C-1496,05/27/2024,Lisa Rodriguez,Preventive Maintenance,2.8,420.0,Replaced burnt fuse block. Test run completed successfully.,Cancelled
DISP-11685,EQ-7099,C-1275,11/25/2021,Sarah Williams,Preventive Maintenance,0.7,105.0,<p>Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.</p>,Pending
DISP-11686,EQ-6724,C-1097,12/01/2022,Sarah Williams,Software Update,5.2,390.0,Replaced faulty thermal sensor and verified system bus voltage.,Pending
DISP-11687,EQ-5270,C-1236,06/27/2021,David Lee,Installation,0.7,52.5,Replaced burnt fuse block. Test run completed successfully.,completed
DISP-11688,EQ-7234,C-1033,2021-09-18T00:00:00Z,Robert Martinez,Diagnostic,3.3,$495.00,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,In Progress
DISP-11689,EQ-5642,C-1464,11/21/2022,   Michael Brown,Diagnostic,11.0,825.0,Replaced burnt fuse block. Test run completed successfully.,COMPLETED
DISP-11690,EQ-6846,C-1280,12/20/2022,Patricia Davis,Diagnostic,5.6,532.0,Calibrated inverter output. System operating within normal parameters.,Cancelled
DISP-11691,EQ-6576,C-1210,04/24/2024,Sarah Williams,Software Update,5.5,825.0,Replaced faulty thermal sensor and verified system bus voltage.,Pending
DISP-11692,EQ-6355,C-1483,08-20-2023,James Wilson,Emergency Repair,7.1,852.0,Replaced faulty thermal sensor and verified system bus voltage.,Completed
DISP-11693,EQ-6581,C-1379,04/11/2022,Maria Garcia,Corrective Maintenance,4.2,399.0,<strong>Performed standard preventive check. Updated firmware to v4.2.1.</strong>,completed
DISP-11694,EQ-5507,C-1183,2024-02-24T00:00:00Z,David Lee,Warranty Replacement,1.3,195.0,Performed standard preventive check. Updated firmware to v4.2.1.,In Progress
DISP-11695,EQ-5030,C-1330,03/18/2022,David Lee,Diagnostic,9.7,1164.0,Performed standard preventive check. Updated firmware to v4.2.1.,Completed
DISP-11696,EQ-7385,C-1476,07-31-2021,Mike Johnson,Installation,7.1,532.5,Replaced burnt fuse block. Test run completed successfully.,Pending
DISP-11697,EQ-6532,C-1228,12/21/2022,Lisa Rodriguez,Emergency Repair,11.1,1665.0,Replaced faulty thermal sensor and verified system bus voltage.,completed
DISP-11698,EQ-5125,C-1449,2021-07-06,Patricia Davis,Emergency Repair,3.3,313.5,Performed standard preventive check. Updated firmware to v4.2.1.,COMPLETED
DISP-11699,EQ-6847,C-1071,09/12/2022,Mike Johnson,Warranty Replacement,7.3,547.5,<strong>Replaced faulty thermal sensor and verified system bus voltage.</strong>,COMPLETED
DISP-11700,EQ-6783,C-1199,2023-05-05,Patricia Davis,Warranty Replacement,3.7,444.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,completed
DISP-11701,EQ-6164,C-1465,04-24-2022,Sarah Williams,Installation,4.1,389.5,Replaced burnt fuse block. Test run completed successfully.,In Progress
DISP-11702,EQ-7003,C-1488,08/01/2023,Carlos Sanchez,Software Update,9.0,855.0,Replaced faulty thermal sensor and verified system bus voltage.,Completed
DISP-11703,EQ-7402,C-1225,2024-03-08T00:00:00Z,David Lee,Installation,11.7,1111.5,Calibrated inverter output. System operating within normal parameters.,Completed
DISP-11704,EQ-6877,C-1241,2023-04-22,Lisa Rodriguez,Diagnostic,3.3,495.0,Performed standard preventive check. Updated firmware to v4.2.1.,Completed
DISP-11705,EQ-7068,C-1096,2023-12-20,   ,Emergency Repair,9.1,$864.50,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Pending
DISP-11706,EQ-5244,C-1182,2022-09-13,Michael Brown,Emergency Repair,6.9,828.0,Replaced burnt fuse block. Test run completed successfully.,Pending
DISP-11707,EQ-6061,C-1289,2024-04-20T00:00:00Z,Jennifer Chen,Warranty Replacement,9.1,1092.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Cancelled
DISP-11708,EQ-5307,C-1360,2021/06/17,Patricia Davis,Diagnostic,10.8,1026.0,Replaced faulty thermal sensor and verified system bus voltage.,Cancelled
