equipment_id,customer_id,model,serial_number,install_date,capacity_kw,voltage,warranty_expiration,status,location_notes
EQ-5155,C-1217,X-3000,SN-X3000-36317,2021-12-17,100,120V,12/16/2024,In Service,<div>Rooftop solar coupler</div>
EQ-6043,C-1473,X-7000,SN-X7000-75947,02/03/2024,500,480V,2025-02-02T00:00:00Z,Maintenance,Rooftop solar coupler
EQ-6651,C-1096,X-3000,SN-X3000-92585,2023-07-08,100,120V,07/07/2025,In Service,Primary power grid node
EQ-6378,C-1495,X-12000,SN-X12000-20742,04-17-2024,1500,600V,2026/04/17,IN SERVICE,Backup unit near loading dock
EQ-5887,C-1301,X-5000,SN-X5000-79624,2022/01/26,250,240V,01/26/2024,IN SERVICE,Primary power grid node
EQ-7323,C-1494,X-9000,SN-X9000-13277,05/08/2023,1000,480V,2026-05-07,Standby,Backup unit near loading dock
EQ-5644,C-1019,X-3000,SN-X3000-14733,05/31/2022,100,120V,05/31/2023,in service,Underground vault 4
EQ-5027,C-1134,X-7000,SN-X7000-39009,2022-07-05T00:00:00Z,500,480V,07-05-2023,Standby,High humidity bay installation
EQ-5818,C-1482,X-12000,SN-X12000-37392,03/25/2023,1500,600V,03-24-2024,Decommissioned,Primary power grid node
EQ-6798,C-1133,X-9000,SN-X9000-41876,02/01/2022,1000,480V,02-01-2023,Decommissioned,   
EQ-7047,C-1392,X-12000,SN-X12000-94702,2021-05-21T00:00:00Z,1500,600V,05/21/2022,In Service,High humidity bay installation
EQ-5630,C-1458,X-9000,SN-X9000-56683,2022/08/14,1000,480V,2023-08-14T00:00:00Z,Standby,NULL
EQ-6331,C-1407,X-12000,   ,2023-03-09,1500,600V,2026-03-08,Standby,Underground vault 4
EQ-5546,C-1012,X-12000,SN-X12000-50844,2024-02-02,1500,600V,02-01-2026,Decommissioned,High humidity bay installation
EQ-5705,C-1225,X-3000,SN-X3000-87799,2023-11-11,100,120V,11/10/2026,In Service,Backup unit near loading dock
EQ-5337,C-1333,X-7000,SN-X7000-30058,10-27-2022,500,480V,2024-10-26,Maintenance,Primary power grid node
EQ-7341,C-1132,X-3000,SN-X3000-22393,2023/10/09,100,120V,2025/10/08,in service,NULL
EQ-6310,C-1457,X-3000,SN-X3000-68660,2023-06-23T00:00:00Z,100,120V,06/22/2024,Maintenance,High humidity bay installation
EQ-7298,C-1126,X-5000,SN-X5000-73527,06/22/2023,250,240V,2025/06/21,In Service,   
EQ-5013,C-1103,X-5000,SN-X5000-50775,2023/06/02,250,240V,06/01/2026,Maintenance,Primary power grid node
EQ-5363,C-1106,X-12000,SN-X12000-37405,10-09-2021,1500,600V,2023-10-09T00:00:00Z,IN SERVICE,Substation B switchgear bay
EQ-5134,C-1063,X-7000,SN-X7000-22341,2023/07/06,500,480V,2026/07/05,Standby,Underground vault 4
EQ-7287,C-1236,X-9000,SN-X9000-48024,2022/08/28,1000,480V,2023-08-28T00:00:00Z,Maintenance,<strong>Underground vault 4</strong>
EQ-5750,C-1270,X-3000,SN-X3000-80559,2022/02/09,100,120V,02-09-2024,Decommissioned,Rooftop solar coupler
EQ-6116,C-1328,X-12000,SN-X12000-17291,05/05/2024,1500,600V,05-05-2026,decommissioned,<div>Rooftop solar coupler</div>
EQ-6347,C-1225,X-7000,SN-X7000-67876,2023-05-16,500,480V,05/15/2025,IN SERVICE,Substation B switchgear bay
EQ-7205,C-1041,X-7000,SN-X7000-14073,09-19-2023,500,480V,09/18/2026,IN SERVICE,Rooftop solar coupler
EQ-5327,C-1213,X-7000,SN-X7000-96174,2022/11/20,500,480V,11/19/2025,in service,Rooftop solar coupler
EQ-6740,C-1133,X-3000,SN-X3000-78098,2022/03/31,100,120V,03/30/2025,Standby,Backup unit near loading dock
EQ-7409,C-1340,X-9000,SN-X9000-78297,2024-02-05,1000,480V,02/04/2025,in service,High humidity bay installation
EQ-6388,C-1074,X-5000,SN-X5000-98153,2022-03-01T00:00:00Z,250,240V,02-28-2025,in service,Underground vault 4
EQ-6357,C-1059,X-7000,SN-X7000-99763,2023-10-28T00:00:00Z,500,480V,10/27/2026,in service,High humidity bay installation
EQ-5250,C-1128,X-9000,SN-X9000-76468,2022-08-12T00:00:00Z,1000,480V,08/12/2023,In Service,Primary power grid node
EQ-5820,C-1096,X-9000,SN-X9000-56801,2023/03/12,1000,480V,03/11/2024,In Service,Rooftop solar coupler
EQ-6178,C-1001,X-9000,SN-X9000-97655,2024-06-27T00:00:00Z,1000,480V,06/27/2025,Maintenance,Primary power grid node
EQ-6792,C-1510,X-7000,SN-X7000-52743,2022-11-29T00:00:00Z,500,480V,11/29/2023,Decommissioned,Primary power grid node
EQ-5359,C-1415,X-5000,SN-X5000-97796,2024-06-01T00:00:00Z,250,240V,06/01/2027,in service,Primary power grid node
EQ-6426,C-1156,X-9000,SN-X9000-16764,05/03/2022,1000,480V,05-02-2025,Maintenance,Backup unit near loading dock
EQ-5493,C-1188,X-12000,SN-X12000-17430,2022-05-08,1500,600V,05/08/2023,Decommissioned,Rooftop solar coupler
EQ-6248,C-1501,X-9000,SN-X9000-84727,2021-08-25,1000,480V,2023-08-25,In Service,Substation B switchgear bay
EQ-5409,C-1072,X-7000,SN-X7000-56634,2021-07-16T00:00:00Z,500,480V,2023-07-16,Decommissioned,Substation B switchgear bay
EQ-6811,C-1331,X-3000,SN-X3000-80888,05-05-2021,100,120V,05/05/2022,in service,Backup unit near loading dock
EQ-6597,C-1053,X-5000,SN-X5000-66528,03/01/2022,250,240V,2025/02/28,in service,NULL
EQ-7301,C-1477,X-7000,SN-X7000-27443,05/15/2024,500,480V,05/15/2026,In Service,Rooftop solar coupler
EQ-5345,C-1154,X-5000,SN-X5000-81770,2022/08/01,250,240V,08/01/2023,Maintenance,Backup unit near loading dock
EQ-7285,C-1407,X-7000,SN-X7000-70549,2021-09-27,500,480V,2023/09/27,IN SERVICE,Primary power grid node
EQ-7052,C-1170,X-7000,SN-X7000-22151,2022/04/16,500,480V,04-15-2024,IN SERVICE,Underground vault 4
EQ-6432,C-1169,X-5000,SN-X5000-70253,2022/09/02,250,240V,2023-09-02T00:00:00Z,IN SERVICE,NULL
EQ-5204,C-1397,X-3000,SN-X3000-42320,2022-07-02T00:00:00Z,100,120V,2025/07/01,In Service,High humidity bay installation
EQ-6937,C-1042,X-3000,SN-X3000-43183,09/05/2022,100,120V,2025-09-04,Maintenance,Primary power grid node
EQ-5454,C-1269,X-12000,SN-X12000-54909,2023/05/08,1500,600V,2025/05/07,in service,Backup unit near loading dock
EQ-6827,C-1333,X-3000,SN-X3000-98791,2023-07-24T00:00:00Z,100,120V,2025-07-23,in service,Backup unit near loading dock
EQ-5430,C-1289,X-5000,NULL,12/23/2021,250,240V,2024/12/22,Maintenance,High humidity bay installation
EQ-5529,C-1277,X-3000,SN-X3000-72168,01/16/2023,100,120V,01/15/2025,Standby,Primary power grid node
EQ-7011,C-1276,X-5000,SN-X5000-13800,2023/07/06,250,240V,2026-07-05,Maintenance,High humidity bay installation
EQ-5210,C-1438,X-7000,SN-X7000-33330,2023-01-29T00:00:00Z,500,480V,2026-01-28T00:00:00Z,In Service,   
EQ-7075,C-1292,X-5000,SN-X5000-46962,08-23-2022,250,240V,2023/08/23,IN SERVICE,Rooftop solar coupler
EQ-5700,C-1260,X-9000,SN-X9000-45689,11-01-2022,1000,480V,2025/10/31,Standby,
EQ-6142,C-1370,X-5000,SN-X5000-68949,11/11/2022,250,240V,11/11/2023,Standby,Backup unit near loading dock
EQ-5573,C-1509,X-7000,SN-X7000-94364,2021-12-09T00:00:00Z,500,480V,12/09/2022,Decommissioned,Rooftop solar coupler
EQ-5418,C-1059,X-3000,SN-X3000-91555,2021-05-18,100,120V,2024/05/17,Maintenance,Backup unit near loading dock
EQ-5834,C-1467,X-3000,SN-X3000-18889,03/15/2022,100,120V,03-15-2023,In Service,Substation B switchgear bay
EQ-6604,C-1374,X-5000,SN-X5000-33696,07/16/2022,250,240V,07-15-2024,in service,Primary power grid node
EQ-6583,C-1229,X-7000,SN-X7000-26369,2021-09-06,500,480V,09-06-2023,IN SERVICE,Substation B switchgear bay
EQ-5381,C-1016,X-7000,SN-X7000-78448,2021-09-04,500,480V,09-04-2022,IN SERVICE,
EQ-7049,C-1068,X-5000,SN-X5000-84798,2023-09-05,250,240V,09/04/2024,Maintenance,Substation B switchgear bay
EQ-6849,C-1053,X-12000,SN-X12000-62385,05-16-2021,1500,600V,2023/05/16,in service,High humidity bay installation
EQ-5580,C-1176,X-3000,SN-X3000-92756,2024-05-18,100,120V,2027-05-18T00:00:00Z,Maintenance,<p>Underground vault 4</p>
EQ-6332,C-1506,X-7000,SN-X7000-56445,2021-06-18,500,480V,06-17-2024,IN SERVICE,NULL
EQ-7367,C-1354,X-9000,SN-X9000-94100,2023-12-01T00:00:00Z,1000,480V,2024/11/30,Maintenance,<p>Backup unit near loading dock</p>
EQ-5437,C-1344,X-5000,SN-X5000-36855,08/26/2022,250,240V,2023/08/26,Maintenance,Rooftop solar coupler
EQ-6696,C-1031,X-3000,SN-X3000-57635,09/13/2021,100,120V,2022-09-13T00:00:00Z,Decommissioned,Primary power grid node
EQ-5248,C-1405,X-12000,   ,01/12/2024,1500,600V,01-11-2026,Standby,Rooftop solar coupler
EQ-5491,C-1226,X-9000,SN-X9000-85060,06/19/2024,1000,480V,06/19/2026,In Service,Rooftop solar coupler
EQ-7372,C-1037,X-3000,SN-X3000-79565,2023/03/30,100,120V,2026/03/29,Standby,Rooftop solar coupler
EQ-6590,C-1362,X-3000,SN-X3000-16532,06/06/2024,100,120V,06-06-2026,In Service,Substation B switchgear bay
EQ-5229,C-1055,X-3000,SN-X3000-83261,12-27-2023,100,120V,2024-12-26,Standby,Underground vault 4
EQ-5087,C-1097,X-3000,SN-X3000-96632,2022/11/22,100,120V,11/21/2024,Decommissioned,Rooftop solar coupler
EQ-6277,C-1021,X-9000,SN-X9000-89266,2022-06-01T00:00:00Z,1000,480V,06-01-2023,IN SERVICE,Primary power grid node
EQ-6637,C-1171,X-9000,SN-X9000-81075,2021-11-22T00:00:00Z,1000,480V,2022-11-22T00:00:00Z,IN SERVICE,Substation B switchgear bay
EQ-7057,C-1069,X-12000,SN-X12000-11341,2022-02-07T00:00:00Z,1500,600V,2025-02-06T00:00:00Z,Maintenance,Substation B switchgear bay
EQ-5985,C-1292,X-5000,SN-X5000-44997,2023/08/19,250,240V,2026/08/18,Decommissioned,Backup unit near loading dock
EQ-7339,C-1245,X-5000,SN-X5000-85700,08-06-2021,250,240V,08/06/2022,In Service,High humidity bay installation
EQ-6743,C-1429,X-3000,SN-X3000-15068,2021-07-24T00:00:00Z,100,120V,2022-07-24,Decommissioned,Backup unit near loading dock
EQ-5160,C-1297,X-3000,SN-X3000-77901,03-30-2024,100,120V,03-30-2025,Decommissioned,<b>Underground vault 4</b>
EQ-6169,C-1410,X-5000,SN-X5000-86500,02/13/2024,250,240V,2026-02-12,Maintenance,Backup unit near loading dock
EQ-5571,C-1329,X-7000,SN-X7000-97821,2023-04-07T00:00:00Z,500,480V,04/06/2025,in service,Rooftop solar coupler
EQ-5954,C-1077,X-5000,SN-X5000-22245,01/23/2024,250,240V,01/22/2027,IN SERVICE,Underground vault 4
EQ-5880,C-1240,X-5000,SN-X5000-23311,2021-12-15,250,240V,2023-12-15T00:00:00Z,Standby,Backup unit near loading dock
EQ-5230,C-1316,X-9000,SN-X9000-58924,05/01/2023,1000,480V,04/30/2026,Decommissioned,Substation B switchgear bay
EQ-5342,C-1358,X-12000,SN-X12000-24002,2023-12-03,1500,600V,12-02-2024,Maintenance,High humidity bay installation
EQ-6424,C-1362,X-5000,SN-X5000-81994,2024-06-27T00:00:00Z,250,240V,06/27/2026,Decommissioned,High humidity bay installation
EQ-7408,C-1380,X-12000,SN-X12000-26449,05-25-2024,1500,600V,2026-05-25,Maintenance,Underground vault 4
EQ-5188,C-1443,X-3000,SN-X3000-34516,2023-01-19T00:00:00Z,100,120V,01-19-2024,IN SERVICE,Rooftop solar coupler
EQ-6589,C-1434,X-12000,SN-X12000-39673,10/06/2022,1500,600V,10-05-2025,Standby,Primary power grid node
EQ-6317,C-1433,X-5000,SN-X5000-28519,05/07/2022,250,240V,05-07-2023,In Service,   
EQ-7053,C-1421,X-9000,SN-X9000-46020,06/01/2021,1000,480V,06/01/2023,Maintenance,Underground vault 4
EQ-6564,C-1026,X-7000,SN-X7000-27896,2024-01-31,500,480V,2026-01-30,IN SERVICE,Rooftop solar coupler
EQ-5249,C-1349,X-9000,SN-X9000-46556,2023-09-11,1000,480V,09-10-2026,Standby,Rooftop solar coupler
EQ-5561,C-1141,X-5000,SN-X5000-36724,2024/03/18,250,240V,03-18-2026,IN SERVICE,Underground vault 4
EQ-6187,C-1456,X-5000,SN-X5000-53075,2022/06/26,250,240V,2025-06-25,In Service,Primary power grid node
EQ-5326,C-1263,X-7000,SN-X7000-81442,05/16/2022,500,480V,05/16/2023,Standby,NULL
EQ-5110,C-1155,X-9000,SN-X9000-17425,11-02-2021,1000,480V,11/02/2023,Standby,Underground vault 4
EQ-6919,C-1206,X-9000,SN-X9000-86393,12/07/2021,1000,480V,12/06/2024,Standby,NULL
EQ-6308,C-1373,X-12000,SN-X12000-63630,07/28/2022,1500,600V,07-27-2024,Decommissioned,<html><body>Substation B switchgear bay</body></html>
EQ-6936,C-1316,X-7000,SN-X7000-21672,2021-08-12,500,480V,2022-08-12T00:00:00Z,In Service,Backup unit near loading dock
EQ-6379,C-1197,X-3000,SN-X3000-68503,2023/06/30,100,120V,2026-06-29T00:00:00Z,In Service,Rooftop solar coupler
EQ-6807,C-1112,X-5000,SN-X5000-81350,2023/02/06,250,240V,2025-02-05,Decommissioned,<div>Rooftop solar coupler</div>
EQ-5908,C-1036,X-3000,SN-X3000-51470,2022-07-13,100,120V,2023/07/13,IN SERVICE,Primary power grid node
EQ-5426,C-1436,X-9000,SN-X9000-17228,11/26/2021,1000,480V,11/26/2023,Decommissioned,Backup unit near loading dock
EQ-6041,C-1494,X-9000,SN-X9000-29864,2023-06-12,1000,480V,2025/06/11,IN SERVICE,Substation B switchgear bay
EQ-7223,C-1029,X-9000,SN-X9000-30528,12/05/2021,1000,480V,2024-12-04T00:00:00Z,Decommissioned,High humidity bay installation
EQ-5047,C-1337,X-12000,SN-X12000-72296,09/18/2023,1500,600V,09/17/2026,in service,Backup unit near loading dock
EQ-7500,C-1001,X-3000,SN-X3000-32120,2023-04-19T00:00:00Z,100,120V,2024/04/18,Standby,Backup unit near loading dock
EQ-5817,C-1025,X-12000,SN-X12000-36953,05/17/2023,1500,600V,05-16-2025,IN SERVICE,Rooftop solar coupler
EQ-5085,C-1145,X-3000,SN-X3000-95459,2022/12/07,100,120V,2023/12/07,Standby,<p>Primary power grid node</p>
EQ-7319,C-1393,X-3000,SN-X3000-59311,2023-03-03T00:00:00Z,100,120V,03/02/2024,IN SERVICE,High humidity bay installation
EQ-5079,C-1132,X-12000,SN-X12000-34752,2022-01-29T00:00:00Z,1500,600V,2023-01-29T00:00:00Z,Maintenance,NULL
EQ-5715,C-1242,X-9000,SN-X9000-61574,03-31-2023,1000,480V,2026-03-30T00:00:00Z,Standby,Substation B switchgear bay
EQ-7495,C-1210,X-3000,SN-X3000-80895,2023-02-25,100,120V,2024/02/25,IN SERVICE,Underground vault 4
EQ-5465,C-1211,X-12000,SN-X12000-89307,12/26/2021,1500,600V,2023-12-26T00:00:00Z,In Service,High humidity bay installation
EQ-5788,C-1054,X-7000,NULL,07/19/2022,500,480V,07-18-2025,IN SERVICE,High humidity bay installation
EQ-7264,C-1160,X-5000,SN-X5000-19549,2023/10/15,250,240V,10/14/2026,Decommissioned,Backup unit near loading dock
EQ-7296,C-1515,X-5000,SN-X5000-84628,06/19/2023,250,240V,2026-06-18,in service,<strong>Substation B switchgear bay</strong>
EQ-6392,C-1368,X-5000,SN-X5000-56924,09-11-2022,250,240V,09-11-2023,IN SERVICE,Underground vault 4
EQ-7378,C-1369,X-5000,SN-X5000-19967,03-16-2022,250,240V,2023/03/16,in service,Underground vault 4
EQ-5535,C-1159,X-7000,SN-X7000-13358,2022/09/27,500,480V,2024-09-26,Decommissioned,High humidity bay installation
EQ-5959,C-1339,X-9000,SN-X9000-96305,03/11/2022,1000,480V,03-10-2024,in service,Backup unit near loading dock
EQ-5146,C-1102,X-7000,,2023/01/03,500,480V,01/02/2026,In Service,Substation B switchgear bay
EQ-6898,C-1289,X-3000,SN-X3000-94702,2023-10-25,100,120V,10-24-2024,in service,Rooftop solar coupler
EQ-6647,C-1394,X-9000,SN-X9000-23118,2022-11-28,1000,480V,2025-11-27,Decommissioned,Rooftop solar coupler
EQ-7322,C-1146,X-12000,SN-X12000-81475,2022-05-19,1500,600V,05/18/2024,Standby,Underground vault 4
EQ-5347,C-1379,X-9000,SN-X9000-25022,07/10/2023,1000,480V,2026-07-09T00:00:00Z,IN SERVICE,Underground vault 4
EQ-6998,C-1268,X-9000,SN-X9000-91136,09/14/2022,1000,480V,2025-09-13,Standby,High humidity bay installation
EQ-5760,C-1028,X-12000,SN-X12000-64778,2022/03/17,1500,600V,2025/03/16,Decommissioned,Substation B switchgear bay
EQ-5201,C-1072,X-7000,SN-X7000-85657,02/08/2023,500,480V,2026-02-07T00:00:00Z,IN SERVICE,Backup unit near loading dock
EQ-6338,C-1343,X-12000,SN-X12000-52490,10-10-2021,1500,600V,10-10-2022,Maintenance,Underground vault 4
EQ-6505,C-1198,X-3000,SN-X3000-97030,2021/07/07,100,120V,2022/07/07,In Service,High humidity bay installation
EQ-6216,C-1038,X-7000,SN-X7000-71542,05/13/2024,500,480V,05/13/2026,Maintenance,High humidity bay installation
EQ-5564,C-1434,X-7000,SN-X7000-14120,08/28/2023,500,480V,2025/08/27,in service,Underground vault 4
EQ-6922,C-1379,X-9000,SN-X9000-23161,2022-07-02,1000,480V,07/01/2025,in service,High humidity bay installation
EQ-5206,C-1238,X-5000,SN-X5000-47022,2022-08-22,250,240V,08-21-2024,Maintenance,Underground vault 4
EQ-5784,C-1149,X-9000,SN-X9000-45947,03-04-2023,1000,480V,03/03/2025,Decommissioned,NULL
EQ-5323,C-1039,X-3000,NULL,2024-06-30,100,120V,06/30/2026,Maintenance,High humidity bay installation
EQ-5729,C-1493,X-3000,SN-X3000-69535,02-28-2022,100,120V,2023-02-28,Standby,Backup unit near loading dock
EQ-6150,C-1418,X-3000,SN-X3000-94259,05/22/2023,100,120V,05/21/2026,Standby,High humidity bay installation
EQ-7443,C-1483,X-12000,   ,06-13-2023,1500,600V,06-12-2025,Standby,Substation B switchgear bay
EQ-6145,C-1055,X-9000,SN-X9000-20218,04/04/2021,1000,480V,04-04-2022,in service,Underground vault 4
EQ-6562,C-1126,X-12000,SN-X12000-43060,2022-10-26,1500,600V,2024/10/25,In Service,Rooftop solar coupler
EQ-6857,C-1187,X-7000,SN-X7000-34748,11/27/2023,500,480V,2025/11/26,In Service,Primary power grid node
EQ-7181,C-1323,X-3000,SN-X3000-22422,2021/05/18,100,120V,2024-05-17,in service,Substation B switchgear bay
EQ-6100,C-1180,X-3000,SN-X3000-45098,02/10/2022,100,120V,2023-02-10,Decommissioned,Underground vault 4
EQ-5036,C-1277,X-9000,SN-X9000-64823,07/20/2023,1000,480V,2024-07-19T00:00:00Z,Standby,Primary power grid node
EQ-6509,C-1254,X-7000,SN-X7000-82441,05-07-2021,500,480V,2024/05/06,Standby,Substation B switchgear bay
EQ-6051,C-1490,X-9000,SN-X9000-10778,2022-06-17,1000,480V,2024/06/16,Decommissioned,Rooftop solar coupler
EQ-6763,C-1456,X-9000,SN-X9000-13680,03/28/2022,1000,480V,03-28-2023,in service,Primary power grid node
EQ-6469,C-1467,X-5000,SN-X5000-11676,2023/08/06,250,240V,08/05/2025,in service,Rooftop solar coupler
EQ-6202,C-1057,X-7000,SN-X7000-54188,03-09-2022,500,480V,2024-03-08,IN SERVICE,<html><body>Underground vault 4</body></html>
EQ-6862,C-1370,X-12000,   ,2021-07-04,1500,600V,07/04/2022,In Service,Rooftop solar coupler
EQ-5734,C-1443,X-5000,SN-X5000-69161,2024-06-18,250,240V,2025-06-18,IN SERVICE,<div>Primary power grid node</div>
EQ-7083,C-1348,X-7000,SN-X7000-85174,05/21/2021,500,480V,2022-05-21,Standby,Primary power grid node
EQ-6928,C-1265,X-3000,SN-X3000-20974,2022-02-09,100,120V,02/08/2025,IN SERVICE,Backup unit near loading dock
EQ-6082,C-1186,X-9000,SN-X9000-76631,04/01/2023,1000,480V,2026-03-31,Maintenance,High humidity bay installation
EQ-6402,C-1075,X-12000,SN-X12000-35234,11/14/2023,1500,600V,11-13-2024,in service,High humidity bay installation
EQ-5821,C-1167,X-12000,SN-X12000-71805,2023-12-22T00:00:00Z,1500,600V,2024-12-21T00:00:00Z,Maintenance,Primary power grid node
EQ-5937,C-1311,X-7000,SN-X7000-69456,03/07/2022,500,480V,2025-03-06T00:00:00Z,Standby,High humidity bay installation
EQ-5169,C-1235,X-5000,SN-X5000-13124,05/28/2022,250,240V,05/27/2024,Decommissioned,Underground vault 4
EQ-7058,C-1455,X-12000,SN-X12000-61180,2023-08-05,1500,600V,08/04/2026,Decommissioned,Primary power grid node
EQ-7265,C-1254,X-7000,SN-X7000-62090,08/17/2023,500,480V,2026-08-16T00:00:00Z,Maintenance,Backup unit near loading dock
EQ-5902,C-1448,X-7000,SN-X7000-27688,2022-06-11,500,480V,2024/06/10,Maintenance,Backup unit near loading dock
EQ-5790,C-1148,X-3000,SN-X3000-41041,01-19-2022,100,120V,2025-01-18T00:00:00Z,Maintenance,Rooftop solar coupler
EQ-5861,C-1124,X-3000,SN-X3000-10347,05/18/2021,100,120V,05/17/2024,In Service,Rooftop solar coupler
EQ-5565,C-1292,X-5000,SN-X5000-24601,01-12-2022,250,240V,2023-01-12T00:00:00Z,IN SERVICE,Underground vault 4
EQ-6330,C-1239,X-12000,SN-X12000-84336,07/03/2021,1500,600V,2024/07/02,Maintenance,Rooftop solar coupler
EQ-7481,C-1150,X-7000,SN-X7000-60672,2021-07-13T00:00:00Z,500,480V,07/12/2024,Standby,Substation B switchgear bay
EQ-6588,C-1506,X-9000,SN-X9000-54244,07/11/2023,1000,480V,07/10/2026,in service,<strong>Backup unit near loading dock</strong>
EQ-7098,C-1266,X-9000,SN-X9000-16521,09/21/2021,1000,480V,2023/09/21,Standby,Substation B switchgear bay
EQ-5470,C-1343,X-5000,SN-X5000-19535,07-29-2022,250,240V,2023-07-29,Standby,Primary power grid node
EQ-6233,C-1247,X-3000,SN-X3000-86856,02-16-2022,100,120V,2025-02-15,In Service,NULL
EQ-7293,C-1103,X-9000,SN-X9000-18527,02-14-2023,1000,480V,2025-02-13,Standby,Rooftop solar coupler
EQ-5953,C-1280,X-3000,SN-X3000-73584,11/01/2023,100,120V,10-31-2026,IN SERVICE,High humidity bay installation
EQ-7329,C-1494,X-7000,SN-X7000-57318,2022-05-10,500,480V,2023-05-10,Decommissioned,
EQ-5360,C-1418,X-7000,SN-X7000-71785,2022-08-07T00:00:00Z,500,480V,2025-08-06,in service,Rooftop solar coupler
EQ-7026,C-1302,X-3000,SN-X3000-48970,2024-03-22T00:00:00Z,100,120V,03-22-2026,Standby,Rooftop solar coupler
EQ-5081,C-1440,X-5000,   ,01/07/2022,250,240V,01/07/2024,In Service,Rooftop solar coupler
EQ-6012,C-1069,X-7000,SN-X7000-99085,2021-05-04T00:00:00Z,500,480V,2022-05-04T00:00:00Z,Maintenance,Underground vault 4
EQ-5312,C-1277,X-9000,SN-X9000-40818,12/25/2022,1000,480V,12/24/2025,in service,   
EQ-5637,C-1073,X-9000,SN-X9000-24688,2024-01-26T00:00:00Z,1000,480V,2026-01-25T00:00:00Z,IN SERVICE,<html>Substation B switchgear bay</html>
EQ-5341,C-1320,X-7000,SN-X7000-62907,06-23-2021,500,480V,06/23/2023,Maintenance,<b>Primary power grid node</b>
EQ-7378,C-1369,X-5000,SN-X5000-19967,03-16-2022,250,240V,2023/03/16,Maintenance,Underground vault 4
EQ-5244,C-1182,X-12000,SN-X12000-70709,2022-10-15T00:00:00Z,1500,600V,10/14/2025,Decommissioned,Rooftop solar coupler
EQ-5864,C-1257,X-12000,SN-X12000-99692,06/23/2022,1500,600V,06/23/2023,decommissioned,Primary power grid node
EQ-7179,C-1464,X-5000,SN-X5000-23874,06/04/2021,250,240V,06/03/2024,In Service,   
EQ-7272,C-1311,X-9000,SN-X9000-49943,2022-10-07,1000,480V,2024/10/06,Standby,Backup unit near loading dock
EQ-5970,C-1056,X-12000,SN-X12000-47108,10/08/2021,1500,600V,2023-10-08,In Service,Backup unit near loading dock
EQ-5530,C-1289,X-12000,SN-X12000-21993,2021-09-20T00:00:00Z,1500,600V,09-20-2022,Decommissioned,Rooftop solar coupler
EQ-5460,C-1448,X-3000,SN-X3000-50189,2021-12-02,100,120V,2024/12/01,Decommissioned,Substation B switchgear bay
EQ-6594,C-1164,X-7000,SN-X7000-53025,2023-08-11T00:00:00Z,500,480V,08-10-2026,In Service,Primary power grid node
EQ-6620,C-1044,X-12000,SN-X12000-98241,11/16/2022,1500,600V,11-15-2024,IN SERVICE,   
EQ-7224,C-1390,X-12000,SN-X12000-14954,2021-12-26T00:00:00Z,1500,600V,2022-12-26T00:00:00Z,IN SERVICE,Primary power grid node
EQ-5152,C-1071,X-9000,SN-X9000-88660,2021/04/22,1000,480V,04/21/2024,Standby,Rooftop solar coupler
EQ-6164,C-1465,X-5000,SN-X5000-78066,2022-01-14,250,240V,01-14-2023,IN SERVICE,Backup unit near loading dock
EQ-5187,C-1049,X-9000,SN-X9000-76530,2021-04-13T00:00:00Z,1000,480V,2022-04-13T00:00:00Z,IN SERVICE,Backup unit near loading dock
EQ-6134,C-1086,X-12000,SN-X12000-25600,03/29/2023,1500,600V,2026-03-28T00:00:00Z,Maintenance,High humidity bay installation
EQ-6958,C-1195,X-9000,SN-X9000-51230,12-28-2022,1000,480V,12/27/2024,Standby,
EQ-5627,C-1338,X-7000,SN-X7000-11055,2022-06-21,500,480V,2023/06/21,Standby,High humidity bay installation
EQ-6069,C-1320,X-3000,SN-X3000-83880,2022/04/16,100,120V,04/16/2023,In Service,Substation B switchgear bay
EQ-6147,C-1485,X-9000,,2023/12/26,1000,480V,2025-12-25T00:00:00Z,Decommissioned,<strong>Underground vault 4</strong>
EQ-5084,C-1327,X-3000,SN-X3000-12116,2021-04-15,100,120V,04-15-2023,Maintenance,Rooftop solar coupler
EQ-5940,C-1458,X-12000,SN-X12000-31745,04/17/2022,1500,600V,2023-04-17T00:00:00Z,in service,<p>High humidity bay installation</p>
EQ-7479,C-1221,X-12000,SN-X12000-57223,2023/09/25,1500,600V,09/24/2024,Maintenance,Substation B switchgear bay
EQ-7373,C-1191,X-9000,,12-21-2022,1000,480V,2025-12-20,Maintenance,Rooftop solar coupler
EQ-6924,C-1299,X-12000,SN-X12000-59123,2024-05-19,1500,600V,2025-05-19T00:00:00Z,Maintenance,Underground vault 4
EQ-6587,C-1296,X-5000,SN-X5000-35893,03/03/2023,250,240V,2025-03-02T00:00:00Z,Decommissioned,Rooftop solar coupler
EQ-6532,C-1228,X-9000,,12/15/2023,1000,480V,12/14/2024,Standby,Substation B switchgear bay
EQ-5625,C-1140,X-9000,SN-X9000-15778,08/08/2022,1000,480V,08/07/2024,Decommissioned,High humidity bay installation
EQ-6006,C-1363,X-5000,SN-X5000-69806,07-26-2021,250,240V,07-25-2024,IN SERVICE,Rooftop solar coupler
EQ-7035,C-1375,X-7000,SN-X7000-68592,2023-10-13T00:00:00Z,500,480V,10/12/2026,Maintenance,Rooftop solar coupler
EQ-6179,C-1413,X-5000,SN-X5000-64431,2021-10-14,250,240V,2023-10-14,IN SERVICE,Underground vault 4
